LSOA21CD,LSOA21NM,borough,inner_outer,population,charger_count,chargers_per_10k,pct_car_owning_households,pct_flats_apartments,imd_decile,priority_score
E01000999,Croydon 009E,Croydon,Outer,1374.0,0.0,0.0,71.36258660508084,5.311778290993072,5,40.92
E01002019,Haringey 022B,Haringey,Inner,1348.0,0.0,0.0,76.69724770642202,31.318681318681318,9,40.91
E01035652,Islington 007F,Islington,Inner,1361.0,1.0,7.347538574577516,29.34426229508197,88.66995073891626,3,40.91
E01001985,Haringey 033B,Haringey,Inner,1526.0,1.0,6.55307994757536,61.126373626373635,74.24242424242425,9,40.91
E01002676,Hounslow 012E,Hounslow,Outer,1598.0,2.0,12.51564455569462,81.46167557932263,24.242424242424242,7,40.9
E01004405,Waltham Forest 020B,Waltham Forest,Outer,1678.0,6.0,35.75685339690107,55.62805872756933,49.673202614379086,4,40.9
E01003934,Southwark 002C,Southwark,Inner,2115.0,19.0,89.83451536643027,28.085867620751344,96.23318385650225,8,40.89
E01004744,Westminster 020D,Westminster,Inner,1518.0,9.0,59.28853754940712,31.471389645776565,98.09264305177112,3,40.89
E01004135,Sutton 003D,Sutton,Outer,1448.0,0.0,0.0,86.88845401174167,8.627450980392156,9,40.89
E01003134,Lambeth 027D,Lambeth,Inner,1620.0,3.0,18.51851851851852,58.293075684380035,54.36893203883495,5,40.87
E01002724,Islington 022D,Islington,Inner,1998.0,4.0,20.02002002002002,25.12980269989616,94.18483904465212,8,40.87
E01001281,Ealing 013D,Ealing,Outer,1542.0,1.0,6.485084306095979,76.86084142394822,30.8562197092084,8,40.86
E01004361,Waltham Forest 005A,Waltham Forest,Outer,1395.0,0.0,0.0,88.70967741935483,3.2388663967611335,8,40.86
E01001352,Ealing 027D,Ealing,Outer,1606.0,4.0,24.906600249066003,59.472049689441,71.51702786377709,6,40.85
E01001989,Haringey 033D,Haringey,Inner,1726.0,5.0,28.968713789107763,65.69920844327177,59.814323607427056,8,40.84
E01002840,Kensington and Chelsea 021A,Kensington and Chelsea,Inner,1045.0,3.0,28.70813397129187,35.501858736059475,90.67164179104478,2,40.84
E01000005,City of London 001E,City of London,Inner,1762.0,5.0,28.37684449489217,21.711899791231733,99.58246346555325,5,40.83
E01001031,Croydon 038D,Croydon,Outer,1456.0,0.0,0.0,93.20388349514563,8.382066276803119,10,40.82
E01004132,Sutton 009D,Sutton,Outer,1508.0,0.0,0.0,91.6015625,4.500978473581213,10,40.82
E01003467,Merton 020B,Merton,Outer,1702.0,2.0,11.750881316098708,81.88622754491018,18.76876876876877,9,40.81
