inner_outer,lsoa_count,total_population,total_chargers,weighted_chargers_per_10k,mean_chargers_per_10k,median_chargers_per_10k,pct_lsoas_with_charger,pct_zero_charger_lsoas,households_total,car_owning_households,pct_car_owning_households,pct_no_car_households,households_total_housing,pct_flats_apartments,pct_houses,chargers_per_1000_car_owning_households,chargers_per_km2
Inner,1966,3452922,8043,23.29,24.32,11.48,76.3,23.7,1409569,588660,41.76,58.24,1409515,74.64,25.24,13.66,25.19
Outer,3028,5418446,4176,7.71,7.78,0.0,45.81,54.19,2014276,1394931,69.25,30.75,2014326,39.5,60.37,2.99,3.33
